UID,Machine failure,Type,Temperature,Rotationalspeed,Tool wear [hour]
242,0,L,308.1,1777,3.3333333333333335
243,1,L,308.2,1348,3.3666666666666667
244,0,L,308.2,1442,3.4
245,0,M,308.2,1395,3.433333333333333
246,0,M,308.1,1627,3.4833333333333334
247,0,L,308.1,1585,3.533333333333333
248,0,L,308.2,1469,3.566666666666667
249,1,L,308.3,1362,3.6
250,1,L,308.3,1405,3.6333333333333333
251,0,L,308.3,1662,0.0
252,0,M,308.2,1466,0.03333333333333333
253,0,L,308.2,1620,0.08333333333333333
254,0,L,308.2,1357,0.11666666666666667
255,0,L,308.2,1514,0.15
256,0,L,308.2,1489,0.18333333333333332
257,0,L,308.3,1331,0.21666666666666667
258,0,L,308.0,1615,0.25
259,0,L,308.2,1482,0.2833333333333333
260,1,M,308.2,1420,0.31666666666666665
261,0,M,308.3,1522,0.36666666666666664
262,0,L,308.2,1654,0.4166666666666667
263,0,M,308.2,1736,0.45
264,0,M,308.1,1587,0.5
265,0,L,308.2,1390,0.55
266,0,L,308.1,1454,0.5833333333333334
267,0,H,308.1,1440,0.6166666666666667
268,0,L,308.0,1954,0.7
269,0,H,308.0,1800,0.7333333333333333
270,0,L,308.0,1524,0.8166666666666667
271,0,H,308.0,1520,0.85
272,0,M,308.1,1452,0.9333333333333333
273,0,L,308.1,1484,0.9833333333333333
274,0,L,308.0,1426,1.0166666666666666
275,0,L,308.0,1652,1.05
276,0,L,308.0,1401,1.0833333333333333
277,0,M,307.9,1750,1.1166666666666667
278,0,H,308.0,1479,1.1666666666666667
279,0,M,308.0,1620,1.25
280,0,L,308.1,1819,1.3
281,0,M,308.1,1456,1.3333333333333333
282,0,L,308.0,1626,1.3833333333333333
283,0,M,308.1,1390,1.4166666666666667
284,0,L,308.2,1469,1.4666666666666666
285,0,L,308.3,2051,1.5
286,0,L,308.3,1568,1.5333333333333334
287,0,L,308.3,1589,1.5666666666666667
288,0,L,308.3,1805,1.6
289,0,H,308.4,1385,1.6333333333333333
290,0,L,308.4,1436,1.7166666666666666
291,0,L,308.4,1438,1.75
292,0,L,308.3,1473,1.7833333333333334
293,0,L,308.4,1335,1.8166666666666667
294,0,H,308.5,1392,1.85
295,0,M,308.5,1372,1.9333333333333333
296,0,M,308.6,1716,1.9833333333333334
297,0,L,308.5,1395,2.033333333333333
298,0,L,308.5,1713,2.066666666666667
299,0,H,308.5,2129,2.1
300,0,M,308.3,1567,2.183333333333333
301,0,L,308.4,1622,2.2333333333333334
302,0,L,308.4,1740,2.2666666666666666
303,0,H,308.4,1512,2.3
304,0,M,308.4,1479,2.3833333333333333
305,0,L,308.4,1737,2.433333333333333
306,0,L,308.4,2129,2.466666666666667
307,0,L,308.4,1374,2.5
308,0,M,308.4,1579,2.533333333333333
309,0,L,308.5,1305,2.5833333333333335
310,0,M,308.5,1449,2.6166666666666667
311,0,H,308.6,1526,2.6666666666666665
312,0,M,308.6,1453,2.75
313,0,L,308.6,1468,2.8
314,0,L,308.6,1313,2.8333333333333335
315,0,M,308.5,1300,2.8666666666666667
316,0,L,308.4,1646,2.9166666666666665
317,0,L,308.4,1714,2.95
318,0,L,308.4,1685,2.9833333333333334
319,0,L,308.4,1512,3.0166666666666666
320,0,L,308.4,1612,3.05
321,0,H,308.4,1550,3.0833333333333335
322,0,L,308.4,1518,3.1666666666666665
323,0,L,308.5,1448,3.2
324,0,L,308.5,1561,3.2333333333333334
325,0,M,308.5,1488,3.2666666666666666
326,0,L,308.5,1699,3.316666666666667
327,0,L,308.5,1501,3.35
328,1,L,308.5,1373,3.3833333333333333
329,0,H,308.4,1703,3.4166666666666665
330,0,H,308.5,1720,3.5
331,0,M,308.4,1398,3.5833333333333335
332,0,M,308.4,1391,3.6333333333333333
333,0,M,308.3,1538,0.0
334,0,L,308.2,1647,0.05
335,0,M,308.1,1469,0.08333333333333333
336,0,L,308.1,1749,0.13333333333333333
337,0,M,308.2,1995,0.16666666666666666
338,0,L,308.3,1742,0.21666666666666667
339,0,L,308.2,1563,0.25
340,0,M,308.2,1713,0.2833333333333333
341,0,L,308.1,1474,0.3333333333333333
342,0,M,308.2,1530,0.36666666666666664
343,0,L,308.2,1471,0.4166666666666667
344,0,L,308.3,1388,0.45
345,0,M,308.2,2448,0.48333333333333334
346,0,L,308.3,1585,0.5333333333333333
347,0,M,308.3,1459,0.5666666666666667
348,0,L,308.3,1544,0.6166666666666667
349,0,L,308.3,1617,0.65
350,0,L,308.3,1595,0.6833333333333333
351,0,H,308.3,1400,0.7166666666666667
352,0,M,308.4,1611,0.8
353,0,M,308.4,1507,0.85
354,0,H,308.3,1674,0.9
355,0,L,308.3,1658,0.9833333333333333
356,0,L,308.3,1623,1.0166666666666666
357,0,M,308.4,1398,1.05
358,0,L,308.4,1517,1.1
359,0,M,308.3,1467,1.1333333333333333
360,0,M,308.3,1567,1.1833333333333333
361,0,M,308.3,1521,1.2333333333333334
362,0,L,308.3,1596,1.2833333333333334
363,0,H,308.3,1640,1.3166666666666667
364,0,L,308.3,1438,1.4
365,0,L,308.4,1407,1.4333333333333333
366,0,L,308.4,1353,1.4666666666666666
367,0,M,308.5,1552,1.5
368,0,M,308.4,1569,1.55
369,0,L,308.4,1489,1.6
370,0,H,308.4,1587,1.6333333333333333
371,0,M,308.3,1622,1.7166666666666666
372,0,L,308.4,1604,1.7666666666666666
373,0,M,308.3,1405,1.8
374,0,L,308.3,1412,1.85
375,0,L,308.3,1431,1.8833333333333333
376,0,L,308.2,1533,1.9166666666666667
377,0,M,308.2,1401,1.95
378,0,M,308.2,1424,2.0
379,0,L,308.2,1754,2.05
380,0,L,308.2,1754,2.0833333333333335
381,1,L,308.3,2564,2.1166666666666667
382,0,L,308.5,1546,2.15
383,0,L,308.5,1335,2.183333333333333
384,0,M,308.6,1842,2.216666666666667
385,0,L,308.5,1712,2.2666666666666666
386,0,M,308.6,1414,2.3
387,0,L,308.7,1319,2.35
388,0,L,308.7,1249,2.3833333333333333
389,0,L,308.7,1455,2.4166666666666665
390,0,M,308.7,1408,2.45
391,0,L,308.7,1460,2.5
392,0,L,308.6,1491,2.533333333333333
393,0,M,308.5,1490,2.566666666666667
394,0,M,308.4,1350,2.6166666666666667
395,0,L,308.4,1528,2.6666666666666665
396,0,L,308.3,1571,2.7
397,0,L,308.3,1490,2.7333333333333334
398,0,M,308.3,1774,2.7666666666666666
399,0,H,308.3,1502,2.816666666666667
400,0,L,308.4,1392,2.9
401,0,L,308.5,2100,2.933333333333333
402,0,L,308.5,1722,2.966666666666667
403,0,L,308.6,1678,3.0
404,0,L,308.6,1273,3.033333333333333
405,0,L,308.6,1297,3.066666666666667
406,0,L,308.5,1350,3.1
407,0,L,308.6,1439,3.1333333333333333
408,0,M,308.5,1600,3.1666666666666665
409,0,M,308.6,1434,3.216666666666667
410,0,L,308.6,1459,3.2666666666666666
411,0,M,308.6,1472,3.3
412,0,L,308.7,1429,3.35
413,0,L,308.6,1388,3.3833333333333333
414,0,L,308.4,1573,3.4166666666666665
415,0,L,308.4,1588,3.45
416,0,L,308.4,1511,3.4833333333333334
417,0,L,308.5,1495,3.5166666666666666
418,0,L,308.4,1394,3.55
419,0,L,308.4,2151,0.0
420,0,M,308.3,1501,0.03333333333333333
421,0,M,308.3,1301,0.08333333333333333
422,0,M,308.3,1657,0.13333333333333333
423,0,L,308.3,1333,0.18333333333333332
424,0,L,308.3,1484,0.21666666666666667
425,0,L,308.4,1430,0.25
426,0,M,308.4,1665,0.2833333333333333
427,0,L,308.5,1501,0.3333333333333333
428,0,M,308.5,1496,0.36666666666666664
429,0,M,308.6,1595,0.4166666666666667
430,0,L,308.6,1208,0.4666666666666667
431,0,L,308.6,1596,0.5
432,0,L,308.5,1446,0.5333333333333333
433,0,M,308.5,1466,0.5666666666666667
434,0,M,308.5,1848,0.6166666666666667
435,0,M,308.5,1484,0.6666666666666666
436,0,L,308.3,1493,0.7166666666666667
437,0,L,308.3,1504,0.75
438,0,L,308.3,1538,0.7833333333333333
439,0,L,308.4,1341,0.8166666666666667
440,0,M,308.3,1535,0.85
441,0,L,308.5,1389,0.9
442,0,H,308.5,1393,0.9333333333333333
443,1,L,308.5,1399,1.0166666666666666
444,0,H,308.5,1469,1.05
445,0,L,308.4,1582,1.1333333333333333
446,0,L,308.6,1793,1.1666666666666667
447,0,L,308.6,1452,1.2
448,0,M,308.7,1376,1.2333333333333334
449,0,L,308.6,1552,1.2833333333333334
450,0,L,308.7,1622,1.3166666666666667
451,0,M,308.7,1419,1.35
452,0,H,308.6,1440,1.4
453,0,M,308.6,1643,1.4833333333333334
454,0,L,308.7,1510,1.5333333333333334
455,0,L,308.7,1468,1.5666666666666667
456,0,L,308.7,1429,1.6
457,0,H,308.7,1478,1.6333333333333333
458,0,L,308.6,1276,1.7166666666666666
459,0,L,308.6,1486,1.75
460,0,L,308.6,1476,1.7833333333333334
461,0,H,308.6,1431,1.8166666666666667
462,0,L,308.7,1402,1.9
463,0,L,308.7,1433,1.9333333333333333
464,1,L,308.7,2874,1.9666666666666666
465,0,L,308.6,1511,2.0
466,0,M,308.6,1456,2.033333333333333
467,0,L,308.5,1550,2.0833333333333335
468,0,L,308.5,2182,2.1166666666666667
469,0,L,308.7,1619,2.15
470,0,M,308.8,1586,2.183333333333333
471,0,H,308.8,1499,2.2333333333333334
472,0,H,308.8,1419,2.316666666666667
473,0,M,309.0,1497,2.4
474,0,M,309.0,1520,2.45
475,0,L,309.1,1478,2.5
476,0,L,309.1,1380,2.533333333333333
477,0,L,309.0,1570,2.566666666666667
478,0,H,309.0,1468,2.6
479,0,L,309.0,1833,2.683333333333333
480,0,M,308.9,1323,2.716666666666667
481,0,L,309.0,1583,2.7666666666666666
482,0,M,309.0,1556,2.8
483,0,L,309.0,1548,2.85
484,0,L,309.0,1324,2.8833333333333333
485,0,L,309.0,1568,2.9166666666666665
486,0,M,309.0,1685,2.95
487,0,M,309.1,1582,3.0
488,0,M,309.1,1463,3.05
489,0,L,309.2,1584,3.1
490,0,M,309.2,1347,3.1333333333333333
491,0,L,309.2,1459,3.183333333333333
492,0,L,309.2,1420,3.216666666666667
493,0,L,309.3,1404,3.25
494,0,L,309.3,1470,3.283333333333333
495,0,L,309.4,1326,3.316666666666667
496,0,H,309.3,1459,3.35
497,0,M,309.2,1530,3.433333333333333
498,0,L,309.0,1505,3.4833333333333334
499,0,L,309.1,1611,3.5166666666666666
500,0,L,309.1,1515,3.55
501,0,M,309.2,1804,3.5833333333333335
502,0,M,309.3,1464,3.6333333333333333
503,0,L,309.2,1390,3.683333333333333
504,0,M,309.2,1442,0.0
505,0,M,309.3,1529,0.05
506,0,L,309.3,1610,0.1
507,0,L,309.3,1543,0.13333333333333333
508,0,H,309.4,1445,0.16666666666666666
509,0,L,309.3,1893,0.25
510,0,M,309.3,1415,0.2833333333333333
511,0,L,309.3,1564,0.3333333333333333
512,0,L,309.3,1479,0.36666666666666664
513,0,L,309.2,1426,0.4
514,0,L,309.2,1428,0.43333333333333335
515,0,L,309.2,1620,0.4666666666666667
516,0,L,309.2,1715,0.5
517,0,L,309.3,1732,0.5333333333333333
518,0,M,309.4,1391,0.5666666666666667
519,0,L,309.5,1924,0.6166666666666667
520,0,M,309.5,2027,0.65
521,0,L,309.5,1617,0.7
522,0,L,309.4,1497,0.7333333333333333
523,0,M,309.5,1448,0.7666666666666667
524,0,L,309.4,1401,0.8166666666666667
525,0,L,309.4,1620,0.85
526,0,L,309.4,1466,0.8833333333333333
527,0,L,309.5,1373,0.9166666666666666
528,0,M,309.6,1592,0.95
529,0,M,309.5,1553,1.0
530,0,L,309.5,1569,1.05
531,0,M,309.5,1709,1.0833333333333333
532,0,L,309.5,1549,1.1333333333333333
533,0,L,309.4,1443,1.1666666666666667
534,0,L,309.3,1675,1.2
535,0,L,309.3,1623,1.2333333333333334
536,0,H,309.3,1365,1.2666666666666666
537,0,L,309.3,1759,1.35
538,0,H,309.3,1516,1.3833333333333333
539,0,M,309.3,1499,1.4666666666666666
540,0,M,309.3,1775,1.5166666666666666
541,0,L,309.4,1473,1.5666666666666667
542,0,L,309.4,1296,1.6
543,0,L,309.4,1803,1.6333333333333333
544,0,H,309.3,1563,1.6666666666666667
545,0,M,309.4,1831,1.75
546,0,L,309.4,1958,1.8
547,0,L,309.4,1809,1.8333333333333333
548,0,M,309.4,1482,1.8666666666666667
549,0,L,309.3,1332,1.9166666666666667
550,0,L,309.2,1437,1.95
551,0,L,309.2,1698,1.9833333333333334
552,0,L,309.2,1274,2.0166666666666666
553,0,M,309.3,1622,2.05
554,0,M,309.3,1564,2.1
555,0,H,309.4,1368,2.15
556,0,M,309.4,1539,2.2333333333333334
557,0,L,309.4,1357,2.283333333333333
558,0,M,309.4,1433,2.316666666666667
559,0,L,309.4,1650,2.3666666666666667
560,0,L,309.4,1503,2.4
561,0,L,309.4,1318,2.433333333333333
562,0,M,309.4,1678,2.466666666666667
563,0,L,309.5,1574,2.5166666666666666
564,0,L,309.6,1529,2.55
565,0,H,309.6,1669,2.5833333333333335
566,0,H,309.7,1570,2.6666666666666665
567,0,M,309.7,1541,2.75
568,0,M,309.7,1680,2.8
569,0,L,309.7,1935,2.85
570,0,M,309.6,1596,2.8833333333333333
571,0,L,309.7,1498,2.933333333333333
572,0,M,309.8,1676,2.966666666666667
573,0,L,309.9,1351,3.0166666666666666
574,0,L,309.9,1472,3.05
575,0,M,310.0,1439,3.0833333333333335
576,0,M,309.9,1410,3.1333333333333333
577,0,H,309.7,1440,3.183333333333333
578,0,L,309.7,1591,3.2666666666666666
579,0,L,309.8,1533,3.3
580,0,M,309.7,1700,3.3333333333333335
581,0,M,309.8,1798,3.3833333333333333
582,0,L,309.7,1394,3.433333333333333
583,0,L,309.7,1341,3.466666666666667
584,0,H,309.6,1697,3.5
585,0,H,309.6,1419,3.5833333333333335
586,0,L,309.5,2001,3.6666666666666665
587,1,L,309.6,1501,3.7
588,0,H,309.5,1623,3.7333333333333334
589,0,L,309.4,1628,3.816666666666667
590,0,L,309.4,1491,3.85
591,0,L,309.4,1517,3.8833333333333333
592,0,H,309.3,1525,3.9166666666666665
593,0,H,309.5,1668,4.0
594,0,L,309.6,1312,0.0
595,0,H,309.6,1278,0.03333333333333333
596,0,M,309.6,1330,0.11666666666666667
597,0,M,309.6,1530,0.16666666666666666
598,0,H,309.6,1428,0.21666666666666667
599,0,L,309.6,1480,0.3
600,0,H,309.7,1616,0.3333333333333333
601,0,L,309.7,1547,0.4166666666666667
602,0,L,309.7,2194,0.45
603,0,L,309.8,2000,0.48333333333333334
604,1,L,309.8,1336,0.5166666666666667
605,0,L,309.9,1542,0.55
606,0,M,309.8,1693,0.5833333333333334
607,0,L,309.8,1461,0.6333333333333333
608,0,M,309.9,1565,0.6666666666666666
609,0,L,309.9,1403,0.7166666666666667
610,0,L,309.9,1629,0.75
611,0,L,310.0,1534,0.7833333333333333
612,0,L,310.0,1553,0.8166666666666667
613,0,L,309.9,1563,0.85
614,0,L,309.9,1634,0.8833333333333333
615,0,M,309.9,1445,0.9166666666666666
616,0,L,309.9,1642,0.9666666666666667
617,0,H,309.9,1686,1.0
618,0,M,310.0,1393,1.0833333333333333
619,0,H,310.0,1433,1.1333333333333333
620,0,L,310.0,1507,1.2166666666666666
621,0,M,310.1,1389,1.25
622,0,L,310.1,1408,1.3
623,0,M,310.2,1725,1.3333333333333333
624,0,L,310.1,1926,1.3833333333333333
625,0,H,310.1,1509,1.4166666666666667
626,0,L,310.1,1545,1.5
627,0,L,310.1,1533,1.5333333333333334
628,0,L,310.1,1455,1.5666666666666667
629,0,M,310.1,1335,1.6
630,0,L,310.1,1523,1.65
631,0,L,310.0,1460,1.6833333333333333
632,0,L,310.0,1554,1.7166666666666666
633,0,H,310.0,1419,1.75
634,0,L,310.0,1442,1.8333333333333333
635,0,L,309.9,1507,1.8666666666666667
636,0,L,310.0,1858,1.9
637,0,L,309.9,1463,1.9333333333333333
638,0,L,309.7,1585,1.9666666666666666
639,0,L,309.6,1536,2.0
640,0,L,309.6,1403,2.033333333333333
641,0,M,309.6,1515,2.066666666666667
642,0,L,309.5,1390,2.1166666666666667
643,0,M,309.4,1226,2.15
644,0,M,309.4,1495,2.2
645,0,H,309.4,1608,2.25
646,0,L,309.4,1392,2.3333333333333335
647,0,M,309.4,1461,2.3666666666666667
648,0,L,309.3,1559,2.4166666666666665
649,0,H,309.3,1400,2.45
650,0,M,309.2,1732,2.533333333333333
651,0,L,309.2,1611,2.5833333333333335
652,0,L,309.1,1503,2.6166666666666667
653,0,L,309.2,1391,2.65
654,0,L,309.3,2015,2.683333333333333
655,0,L,309.2,1683,2.716666666666667
656,0,L,309.1,1435,2.75
657,0,M,309.1,1732,2.783333333333333
658,0,L,309.2,1365,2.8333333333333335
659,0,L,309.1,1562,2.8666666666666667
660,0,L,309.1,1449,2.9
661,0,M,309.2,1700,2.933333333333333
662,0,M,309.0,1427,2.9833333333333334
663,0,M,308.9,1479,3.033333333333333
664,0,L,308.9,1469,3.0833333333333335
665,0,L,308.9,1390,3.1166666666666667
666,0,L,308.9,1729,3.15
667,0,L,309.0,1470,3.183333333333333
668,0,L,308.9,1459,3.216666666666667
669,0,L,308.9,1738,3.25
670,0,H,308.9,1471,3.283333333333333
671,0,L,309.0,1822,3.3666666666666667
672,0,L,308.9,1554,3.4
673,0,M,308.9,1433,3.433333333333333
674,0,L,308.9,1449,3.4833333333333334
675,0,L,309.0,1456,0.0
676,0,M,309.1,1424,0.03333333333333333
677,0,H,309.2,1577,0.08333333333333333
678,0,L,309.2,1478,0.16666666666666666
679,0,M,309.2,1295,0.2
680,0,L,309.2,1372,0.25
681,0,M,309.1,1432,0.2833333333333333
682,0,M,309.0,1656,0.3333333333333333
683,0,H,309.0,1410,0.38333333333333336
684,0,L,309.0,1874,0.4666666666666667
685,0,L,309.0,1538,0.5
686,0,M,309.0,1636,0.5333333333333333
687,0,M,309.0,1504,0.5833333333333334
