UID,Machine failure,Type,Temperature,Tool wear [min],Rotationalspeed
112,0,H,308.6,84,1499
113,0,M,308.7,89,1498
114,0,M,308.6,92,1486
115,0,L,308.6,95,1680
116,0,L,308.6,97,1431
117,0,L,308.7,99,1564
118,0,L,308.6,101,1599
119,0,M,308.6,103,1707
120,0,L,308.5,106,1467
121,0,L,308.7,108,1433
122,0,L,308.7,110,1558
123,0,L,308.8,112,1310
124,0,L,308.7,114,1546
125,0,L,308.7,116,1727
126,0,L,308.6,118,1560
127,0,L,308.6,120,1329
128,0,L,308.6,122,1413
129,0,L,308.6,124,1587
130,0,L,308.5,126,1559
131,0,L,308.4,128,1473
132,0,L,308.4,130,1737
133,0,M,308.4,132,1441
134,0,M,308.4,135,1430
135,0,L,308.4,138,1369
136,0,M,308.5,140,1711
137,0,H,308.5,143,1420
138,0,L,308.6,148,1297
139,0,H,308.6,150,1449
140,0,L,308.6,155,1268
141,0,L,308.6,157,1511
142,0,L,308.5,159,1544
143,0,M,308.4,161,1778
144,0,H,308.4,164,1407
145,0,M,308.4,169,1391
146,0,L,308.4,172,1513
147,0,H,308.4,174,1612
148,0,L,308.4,179,1515
149,0,M,308.3,181,1379
150,0,L,308.3,184,1473
151,0,L,308.3,186,1422
152,0,M,308.2,188,1463
153,0,M,308.2,191,1584
154,0,L,308.2,194,1850
155,0,L,308.2,196,1528
156,0,H,308.2,198,1987
157,0,M,308.1,203,1495
158,0,H,308.2,206,1478
159,0,M,308.2,211,1499
160,0,L,308.2,214,1471
161,1,L,308.2,216,1282
162,1,L,308.1,218,1412
163,0,L,308.1,0,1586
164,0,M,308.2,2,1468
165,0,M,308.3,5,1440
166,0,L,308.4,8,1733
167,0,H,308.2,10,1612
168,0,H,308.3,15,1458
169,1,L,308.3,20,1433
170,0,L,308.3,22,1318
171,0,M,308.2,24,1610
172,0,L,308.1,27,1462
173,0,M,308.0,29,1924
174,0,M,308.0,32,1591
175,0,L,308.1,35,1306
176,0,L,308.1,37,1382
177,0,L,308.1,39,1618
178,0,L,308.2,41,1988
179,0,L,308.2,43,1436
180,0,L,308.3,45,1304
181,0,L,308.3,47,1475
182,0,H,308.3,49,1824
183,0,M,308.2,54,1342
184,0,L,308.2,57,1485
185,0,L,308.2,59,1667
186,0,L,308.2,61,1446
187,0,L,308.3,63,1301
188,0,L,308.4,65,1379
189,0,L,308.5,67,1606
190,0,M,308.4,69,1539
191,0,L,308.4,72,1477
192,0,L,308.4,74,1666
193,0,H,308.4,76,1398
194,0,H,308.4,81,1678
195,1,M,308.5,86,2678
196,0,L,308.5,89,1453
197,0,H,308.6,91,1432
198,0,M,308.6,96,1527
199,0,L,308.7,99,1588
200,0,L,308.6,101,1433
201,0,L,308.6,103,1609
202,0,L,308.5,105,1575
203,0,M,308.5,107,1636
204,0,L,308.5,110,1490
205,0,L,308.5,112,1741
206,0,M,308.6,114,1344
207,0,L,308.7,117,1609
208,1,M,308.7,119,1421
209,0,L,308.6,122,1591
210,0,L,308.6,124,1477
211,0,L,308.7,126,1523
212,0,L,308.7,128,1575
213,0,H,308.7,130,1344
214,0,L,308.7,135,1386
215,0,M,308.6,137,1589
216,0,L,308.6,140,1548
217,0,L,308.6,142,1499
218,0,L,308.5,144,1664
219,0,L,308.6,146,1447
220,0,M,308.5,148,1434
221,0,L,308.5,151,1416
222,0,H,308.5,153,1827
223,0,L,308.6,158,1304
224,0,L,308.6,160,1569
225,0,L,308.6,162,1584
226,0,L,308.5,164,1362
227,0,L,308.4,166,1329
228,0,L,308.5,168,1539
229,0,M,308.5,170,1629
230,0,L,308.5,173,1538
231,0,L,308.6,175,1570
232,0,L,308.4,177,1408
233,0,L,308.4,179,1424
234,0,L,308.4,181,1512
235,0,L,308.4,183,1478
236,0,M,308.3,185,1680
237,0,L,308.3,188,1495
238,0,M,308.1,190,1552
239,0,L,308.1,193,1393
240,0,L,308.2,195,1611
241,0,M,308.1,197,1339
242,0,L,308.1,200,1777
243,1,L,308.2,202,1348
244,0,L,308.2,204,1442
245,0,M,308.2,206,1395
246,0,M,308.1,209,1627
247,0,L,308.1,212,1585
248,0,L,308.2,214,1469
249,1,L,308.3,216,1362
250,1,L,308.3,218,1405
251,0,L,308.3,0,1662
252,0,M,308.2,2,1466
253,0,L,308.2,5,1620
254,0,L,308.2,7,1357
255,0,L,308.2,9,1514
256,0,L,308.2,11,1489
257,0,L,308.3,13,1331
258,0,L,308.0,15,1615
259,0,L,308.2,17,1482
260,1,M,308.2,19,1420
261,0,M,308.3,22,1522
262,0,L,308.2,25,1654
263,0,M,308.2,27,1736
264,0,M,308.1,30,1587
265,0,L,308.2,33,1390
266,0,L,308.1,35,1454
267,0,H,308.1,37,1440
268,0,L,308.0,42,1954
269,0,H,308.0,44,1800
270,0,L,308.0,49,1524
271,0,H,308.0,51,1520
272,0,M,308.1,56,1452
273,0,L,308.1,59,1484
274,0,L,308.0,61,1426
275,0,L,308.0,63,1652
276,0,L,308.0,65,1401
277,0,M,307.9,67,1750
278,0,H,308.0,70,1479
279,0,M,308.0,75,1620
280,0,L,308.1,78,1819
281,0,M,308.1,80,1456
282,0,L,308.0,83,1626
283,0,M,308.1,85,1390
284,0,L,308.2,88,1469
285,0,L,308.3,90,2051
286,0,L,308.3,92,1568
287,0,L,308.3,94,1589
288,0,L,308.3,96,1805
289,0,H,308.4,98,1385
290,0,L,308.4,103,1436
291,0,L,308.4,105,1438
292,0,L,308.3,107,1473
293,0,L,308.4,109,1335
294,0,H,308.5,111,1392
295,0,M,308.5,116,1372
296,0,M,308.6,119,1716
297,0,L,308.5,122,1395
298,0,L,308.5,124,1713
299,0,H,308.5,126,2129
300,0,M,308.3,131,1567
301,0,L,308.4,134,1622
302,0,L,308.4,136,1740
303,0,H,308.4,138,1512
304,0,M,308.4,143,1479
305,0,L,308.4,146,1737
306,0,L,308.4,148,2129
307,0,L,308.4,150,1374
308,0,M,308.4,152,1579
309,0,L,308.5,155,1305
310,0,M,308.5,157,1449
311,0,H,308.6,160,1526
312,0,M,308.6,165,1453
313,0,L,308.6,168,1468
314,0,L,308.6,170,1313
315,0,M,308.5,172,1300
316,0,L,308.4,175,1646
317,0,L,308.4,177,1714
318,0,L,308.4,179,1685
319,0,L,308.4,181,1512
320,0,L,308.4,183,1612
321,0,H,308.4,185,1550
322,0,L,308.4,190,1518
323,0,L,308.5,192,1448
324,0,L,308.5,194,1561
325,0,M,308.5,196,1488
326,0,L,308.5,199,1699
327,0,L,308.5,201,1501
328,1,L,308.5,203,1373
329,0,H,308.4,205,1703
330,0,H,308.5,210,1720
331,0,M,308.4,215,1398
332,0,M,308.4,218,1391
333,0,M,308.3,0,1538
334,0,L,308.2,3,1647
335,0,M,308.1,5,1469
336,0,L,308.1,8,1749
337,0,M,308.2,10,1995
338,0,L,308.3,13,1742
339,0,L,308.2,15,1563
340,0,M,308.2,17,1713
341,0,L,308.1,20,1474
342,0,M,308.2,22,1530
343,0,L,308.2,25,1471
344,0,L,308.3,27,1388
345,0,M,308.2,29,2448
346,0,L,308.3,32,1585
347,0,M,308.3,34,1459
348,0,L,308.3,37,1544
349,0,L,308.3,39,1617
350,0,L,308.3,41,1595
351,0,H,308.3,43,1400
352,0,M,308.4,48,1611
353,0,M,308.4,51,1507
354,0,H,308.3,54,1674
355,0,L,308.3,59,1658
356,0,L,308.3,61,1623
357,0,M,308.4,63,1398
358,0,L,308.4,66,1517
359,0,M,308.3,68,1467
360,0,M,308.3,71,1567
361,0,M,308.3,74,1521
362,0,L,308.3,77,1596
363,0,H,308.3,79,1640
364,0,L,308.3,84,1438
365,0,L,308.4,86,1407
366,0,L,308.4,88,1353
367,0,M,308.5,90,1552
368,0,M,308.4,93,1569
369,0,L,308.4,96,1489
370,0,H,308.4,98,1587
371,0,M,308.3,103,1622
372,0,L,308.4,106,1604
373,0,M,308.3,108,1405
374,0,L,308.3,111,1412
375,0,L,308.3,113,1431
376,0,L,308.2,115,1533
377,0,M,308.2,117,1401
378,0,M,308.2,120,1424
379,0,L,308.2,123,1754
380,0,L,308.2,125,1754
381,1,L,308.3,127,2564
382,0,L,308.5,129,1546
383,0,L,308.5,131,1335
384,0,M,308.6,133,1842
385,0,L,308.5,136,1712
386,0,M,308.6,138,1414
387,0,L,308.7,141,1319
388,0,L,308.7,143,1249
389,0,L,308.7,145,1455
390,0,M,308.7,147,1408
391,0,L,308.7,150,1460
392,0,L,308.6,152,1491
393,0,M,308.5,154,1490
394,0,M,308.4,157,1350
395,0,L,308.4,160,1528
396,0,L,308.3,162,1571
397,0,L,308.3,164,1490
398,0,M,308.3,166,1774
399,0,H,308.3,169,1502
400,0,L,308.4,174,1392
401,0,L,308.5,176,2100
402,0,L,308.5,178,1722
403,0,L,308.6,180,1678
404,0,L,308.6,182,1273
405,0,L,308.6,184,1297
406,0,L,308.5,186,1350
407,0,L,308.6,188,1439
408,0,M,308.5,190,1600
409,0,M,308.6,193,1434
410,0,L,308.6,196,1459
411,0,M,308.6,198,1472
412,0,L,308.7,201,1429
413,0,L,308.6,203,1388
414,0,L,308.4,205,1573
415,0,L,308.4,207,1588
416,0,L,308.4,209,1511
417,0,L,308.5,211,1495
418,0,L,308.4,213,1394
419,0,L,308.4,0,2151
420,0,M,308.3,2,1501
421,0,M,308.3,5,1301
422,0,M,308.3,8,1657
423,0,L,308.3,11,1333
424,0,L,308.3,13,1484
425,0,L,308.4,15,1430
426,0,M,308.4,17,1665
427,0,L,308.5,20,1501
428,0,M,308.5,22,1496
429,0,M,308.6,25,1595
430,0,L,308.6,28,1208
431,0,L,308.6,30,1596
432,0,L,308.5,32,1446
433,0,M,308.5,34,1466
434,0,M,308.5,37,1848
435,0,M,308.5,40,1484
436,0,L,308.3,43,1493
437,0,L,308.3,45,1504
438,0,L,308.3,47,1538
439,0,L,308.4,49,1341
440,0,M,308.3,51,1535
441,0,L,308.5,54,1389
442,0,H,308.5,56,1393
443,1,L,308.5,61,1399
444,0,H,308.5,63,1469
445,0,L,308.4,68,1582
446,0,L,308.6,70,1793
447,0,L,308.6,72,1452
448,0,M,308.7,74,1376
449,0,L,308.6,77,1552
450,0,L,308.7,79,1622
451,0,M,308.7,81,1419
452,0,H,308.6,84,1440
453,0,M,308.6,89,1643
454,0,L,308.7,92,1510
455,0,L,308.7,94,1468
456,0,L,308.7,96,1429
457,0,H,308.7,98,1478
458,0,L,308.6,103,1276
459,0,L,308.6,105,1486
460,0,L,308.6,107,1476
461,0,H,308.6,109,1431
462,0,L,308.7,114,1402
463,0,L,308.7,116,1433
464,1,L,308.7,118,2874
465,0,L,308.6,120,1511
466,0,M,308.6,122,1456
467,0,L,308.5,125,1550
468,0,L,308.5,127,2182
469,0,L,308.7,129,1619
470,0,M,308.8,131,1586
471,0,H,308.8,134,1499
472,0,H,308.8,139,1419
473,0,M,309.0,144,1497
474,0,M,309.0,147,1520
475,0,L,309.1,150,1478
476,0,L,309.1,152,1380
477,0,L,309.0,154,1570
478,0,H,309.0,156,1468
479,0,L,309.0,161,1833
480,0,M,308.9,163,1323
481,0,L,309.0,166,1583
482,0,M,309.0,168,1556
483,0,L,309.0,171,1548
484,0,L,309.0,173,1324
485,0,L,309.0,175,1568
486,0,M,309.0,177,1685
487,0,M,309.1,180,1582
488,0,M,309.1,183,1463
489,0,L,309.2,186,1584
490,0,M,309.2,188,1347
491,0,L,309.2,191,1459
492,0,L,309.2,193,1420
493,0,L,309.3,195,1404
494,0,L,309.3,197,1470
495,0,L,309.4,199,1326
496,0,H,309.3,201,1459
497,0,M,309.2,206,1530
498,0,L,309.0,209,1505
499,0,L,309.1,211,1611
500,0,L,309.1,213,1515
501,0,M,309.2,215,1804
502,0,M,309.3,218,1464
503,0,L,309.2,221,1390
504,0,M,309.2,0,1442
505,0,M,309.3,3,1529
506,0,L,309.3,6,1610
507,0,L,309.3,8,1543
508,0,H,309.4,10,1445
509,0,L,309.3,15,1893
510,0,M,309.3,17,1415
511,0,L,309.3,20,1564
512,0,L,309.3,22,1479
513,0,L,309.2,24,1426
514,0,L,309.2,26,1428
515,0,L,309.2,28,1620
516,0,L,309.2,30,1715
517,0,L,309.3,32,1732
518,0,M,309.4,34,1391
519,0,L,309.5,37,1924
520,0,M,309.5,39,2027
521,0,L,309.5,42,1617
522,0,L,309.4,44,1497
523,0,M,309.5,46,1448
524,0,L,309.4,49,1401
525,0,L,309.4,51,1620
526,0,L,309.4,53,1466
527,0,L,309.5,55,1373
528,0,M,309.6,57,1592
529,0,M,309.5,60,1553
530,0,L,309.5,63,1569
531,0,M,309.5,65,1709
532,0,L,309.5,68,1549
533,0,L,309.4,70,1443
534,0,L,309.3,72,1675
535,0,L,309.3,74,1623
536,0,H,309.3,76,1365
537,0,L,309.3,81,1759
538,0,H,309.3,83,1516
539,0,M,309.3,88,1499
540,0,M,309.3,91,1775
541,0,L,309.4,94,1473
542,0,L,309.4,96,1296
543,0,L,309.4,98,1803
544,0,H,309.3,100,1563
545,0,M,309.4,105,1831
546,0,L,309.4,108,1958
547,0,L,309.4,110,1809
548,0,M,309.4,112,1482
549,0,L,309.3,115,1332
550,0,L,309.2,117,1437
551,0,L,309.2,119,1698
552,0,L,309.2,121,1274
553,0,M,309.3,123,1622
554,0,M,309.3,126,1564
555,0,H,309.4,129,1368
556,0,M,309.4,134,1539
557,0,L,309.4,137,1357
558,0,M,309.4,139,1433
559,0,L,309.4,142,1650
560,0,L,309.4,144,1503
561,0,L,309.4,146,1318
562,0,M,309.4,148,1678
563,0,L,309.5,151,1574
564,0,L,309.6,153,1529
565,0,H,309.6,155,1669
566,0,H,309.7,160,1570
567,0,M,309.7,165,1541
568,0,M,309.7,168,1680
569,0,L,309.7,171,1935
570,0,M,309.6,173,1596
571,0,L,309.7,176,1498
572,0,M,309.8,178,1676
573,0,L,309.9,181,1351
574,0,L,309.9,183,1472
575,0,M,310.0,185,1439
576,0,M,309.9,188,1410
577,0,H,309.7,191,1440
578,0,L,309.7,196,1591
579,0,L,309.8,198,1533
580,0,M,309.7,200,1700
581,0,M,309.8,203,1798
582,0,L,309.7,206,1394
583,0,L,309.7,208,1341
584,0,H,309.6,210,1697
585,0,H,309.6,215,1419
586,0,L,309.5,220,2001
587,1,L,309.6,222,1501
588,0,H,309.5,224,1623
589,0,L,309.4,229,1628
590,0,L,309.4,231,1491
591,0,L,309.4,233,1517
592,0,H,309.3,235,1525
593,0,H,309.5,240,1668
594,0,L,309.6,0,1312
595,0,H,309.6,2,1278
596,0,M,309.6,7,1330
597,0,M,309.6,10,1530
598,0,H,309.6,13,1428
599,0,L,309.6,18,1480
600,0,H,309.7,20,1616
601,0,L,309.7,25,1547
602,0,L,309.7,27,2194
603,0,L,309.8,29,2000
604,1,L,309.8,31,1336
605,0,L,309.9,33,1542
606,0,M,309.8,35,1693
607,0,L,309.8,38,1461
608,0,M,309.9,40,1565
609,0,L,309.9,43,1403
610,0,L,309.9,45,1629
611,0,L,310.0,47,1534
612,0,L,310.0,49,1553
613,0,L,309.9,51,1563
614,0,L,309.9,53,1634
615,0,M,309.9,55,1445
616,0,L,309.9,58,1642
617,0,H,309.9,60,1686
618,0,M,310.0,65,1393
619,0,H,310.0,68,1433
620,0,L,310.0,73,1507
621,0,M,310.1,75,1389
622,0,L,310.1,78,1408
623,0,M,310.2,80,1725
624,0,L,310.1,83,1926
625,0,H,310.1,85,1509
626,0,L,310.1,90,1545
627,0,L,310.1,92,1533
628,0,L,310.1,94,1455
629,0,M,310.1,96,1335
630,0,L,310.1,99,1523
631,0,L,310.0,101,1460
632,0,L,310.0,103,1554
633,0,H,310.0,105,1419
634,0,L,310.0,110,1442
635,0,L,309.9,112,1507
636,0,L,310.0,114,1858
637,0,L,309.9,116,1463
638,0,L,309.7,118,1585
639,0,L,309.6,120,1536
640,0,L,309.6,122,1403
641,0,M,309.6,124,1515
642,0,L,309.5,127,1390
643,0,M,309.4,129,1226
644,0,M,309.4,132,1495
645,0,H,309.4,135,1608
646,0,L,309.4,140,1392
647,0,M,309.4,142,1461
648,0,L,309.3,145,1559
649,0,H,309.3,147,1400
650,0,M,309.2,152,1732
651,0,L,309.2,155,1611
652,0,L,309.1,157,1503
653,0,L,309.2,159,1391
654,0,L,309.3,161,2015
655,0,L,309.2,163,1683
656,0,L,309.1,165,1435
657,0,M,309.1,167,1732
658,0,L,309.2,170,1365
659,0,L,309.1,172,1562
660,0,L,309.1,174,1449
661,0,M,309.2,176,1700
662,0,M,309.0,179,1427
663,0,M,308.9,182,1479
664,0,L,308.9,185,1469
665,0,L,308.9,187,1390
666,0,L,308.9,189,1729
667,0,L,309.0,191,1470
668,0,L,308.9,193,1459
669,0,L,308.9,195,1738
670,0,H,308.9,197,1471
671,0,L,309.0,202,1822
672,0,L,308.9,204,1554
673,0,M,308.9,206,1433
674,0,L,308.9,209,1449
675,0,L,309.0,0,1456
676,0,M,309.1,2,1424
677,0,H,309.2,5,1577
678,0,L,309.2,10,1478
679,0,M,309.2,12,1295
680,0,L,309.2,15,1372
681,0,M,309.1,17,1432
682,0,M,309.0,20,1656
683,0,H,309.0,23,1410
684,0,L,309.0,28,1874
685,0,L,309.0,30,1538
686,0,M,309.0,32,1636
687,0,M,309.0,35,1504
688,0,M,309.0,38,1531
689,0,H,309.0,41,1735
690,0,H,309.0,46,1354
691,0,H,309.0,51,1413
692,0,L,309.1,56,1563
693,0,L,309.1,58,1479
694,0,L,309.1,60,1477
695,0,L,309.1,62,1394
696,0,L,309.0,64,1487
697,0,M,309.0,66,1815
698,0,M,308.8,69,1453
699,0,L,308.8,72,1539
700,0,H,308.7,74,1416
701,0,M,308.8,79,1683
702,0,L,308.8,82,1515
703,0,M,308.9,84,1531
704,0,H,308.9,87,1479
705,0,L,308.9,92,1516
706,0,L,309.0,94,1507
707,0,M,309.0,96,1434
708,0,L,308.9,99,1838
709,0,M,308.8,101,1416
710,0,M,308.8,104,1357
711,0,M,308.7,107,1697
712,0,L,308.7,110,1443
713,0,L,308.7,112,1453
714,0,L,308.6,114,1439
715,0,L,308.6,116,1609
716,0,L,308.6,118,1324
717,0,H,308.6,120,1420
718,0,L,308.7,125,1545
719,0,L,308.8,127,1477
720,0,L,308.8,129,1447
721,0,L,308.9,131,1809
722,0,L,308.9,133,1696
723,0,L,308.9,135,1427
724,0,M,308.9,137,1500
725,0,L,308.9,140,1390
726,0,L,308.8,142,1640
727,0,M,308.8,144,1628
728,0,H,308.6,147,1499
729,0,M,308.7,152,1425
730,0,L,308.6,155,1586
731,0,M,308.6,157,1471
732,0,M,308.6,160,1431
733,0,L,308.6,163,1924
734,0,M,308.4,165,1421
735,0,H,308.4,168,1305
736,0,L,308.4,173,1557
737,0,L,308.3,175,1555
738,0,H,308.3,177,1474
739,0,L,308.3,182,1506
740,0,L,308.4,184,1390
741,0,M,308.4,186,1450
742,0,L,308.3,189,1513
743,0,L,308.2,191,1643
744,0,L,308.2,193,1361
745,0,L,308.1,195,1450
746,0,L,308.0,197,1451
747,1,L,308.1,199,1289
748,0,L,308.1,201,1356
749,0,H,308.1,203,1528
750,0,L,308.0,208,1978
751,0,L,308.0,210,1535
752,0,M,308.1,212,1843
753,0,L,308.1,215,1422
754,0,L,308.0,217,1536
755,0,M,308.1,219,1483
756,0,H,308.1,222,1492
757,0,L,308.0,227,1584
758,0,L,308.1,229,1555
759,0,L,308.0,231,1497
760,0,M,307.8,233,1537
761,0,L,307.8,236,1505
762,0,L,307.8,238,1646
763,0,M,307.8,0,1286
764,0,L,307.8,3,1400
765,0,L,307.9,5,1337
766,0,L,308.0,7,1332
767,0,L,308.0,9,1561
768,0,L,308.0,11,1546
769,0,L,308.0,13,1713
770,0,L,308.0,15,1343
771,0,L,308.0,17,1391
772,0,H,308.0,19,1311
773,0,H,308.0,24,1453
774,0,L,308.0,29,1510
775,0,L,307.9,31,1448
776,0,L,307.8,33,1453
777,0,L,307.8,35,1468
778,0,L,307.8,37,1382
779,0,L,308.0,39,1580
780,0,L,308.0,41,1666
781,0,M,308.0,43,1409
782,0,L,308.0,46,1675
783,0,L,307.9,48,1698
784,0,H,307.9,50,1579
785,0,L,307.9,55,1743
786,0,M,308.0,57,1497
787,0,L,308.1,60,1741
788,0,L,308.1,62,1435
789,0,M,308.1,64,1440
790,0,M,308.0,67,1641
791,0,L,307.9,70,1420
792,0,L,307.9,72,1611
793,0,L,307.8,74,1373
794,0,M,307.9,76,1683
795,0,H,307.9,79,1547
796,0,L,307.8,84,1605
797,0,M,307.9,86,2010
798,0,L,307.7,89,1565
799,0,M,307.8,91,1828
800,0,M,307.8,94,1579
801,0,M,307.9,97,1882
802,0,L,307.8,100,1285
803,0,L,307.8,102,1571
804,0,H,307.8,104,1549
805,0,M,307.8,109,1544
806,0,M,307.9,112,1412
807,0,M,307.9,115,1422
808,0,L,307.7,118,1867
809,0,L,307.7,120,1424
810,0,L,307.6,122,1452
811,0,L,307.7,124,1550
812,0,L,307.6,126,1588
813,0,L,307.6,128,1338
814,0,L,307.6,130,1513
815,0,M,307.5,132,1470
816,0,M,307.5,135,1516
817,0,L,307.6,138,1434
818,0,L,307.6,140,1368
819,0,L,307.6,142,1304
820,0,L,307.6,144,1398
821,0,L,307.6,146,1516
822,0,L,307.6,148,1474
823,0,M,307.6,150,1547
824,0,M,307.5,153,1482
825,0,L,307.4,156,1436
826,0,L,307.3,158,1474
827,0,L,307.2,160,1481
828,0,L,307.3,162,1501
829,0,L,307.3,164,1566
830,0,L,307.3,166,1579
831,0,L,307.4,168,1631
832,0,M,307.4,170,1544
833,0,L,307.4,173,1521
834,0,L,307.4,175,1616
835,0,H,307.4,177,1333
836,0,M,307.4,182,1533
837,0,L,307.4,185,1368
838,0,L,307.4,187,1465
839,0,H,307.4,189,1406
840,0,M,307.4,194,1565
841,0,L,307.5,197,1582
842,0,L,307.5,199,1439
843,0,M,307.5,201,1566
844,0,L,307.5,204,1485
845,0,L,307.5,206,1566
846,0,L,307.3,208,1439
847,0,M,307.4,210,1416
848,1,L,307.4,213,2833
849,0,L,307.4,215,1465
850,0,H,307.4,0,1586
851,0,L,307.3,5,1567
852,0,M,307.2,7,1389
853,0,M,307.3,10,1368
854,0,L,307.3,13,1444
855,0,M,307.3,15,1498
856,0,L,307.2,18,1615
857,0,L,307.1,20,1898
858,0,M,307.1,22,1350
859,0,M,307.0,25,1516
860,0,H,307.0,28,1542
861,0,H,306.9,33,1541
862,0,M,306.9,38,1951
863,0,H,306.8,41,1645
864,0,L,306.7,46,1416
865,0,M,306.7,48,2044
866,0,L,306.6,51,1414
867,0,L,306.6,53,1678
868,0,H,306.5,55,1594
869,0,M,306.5,60,1514
870,0,L,306.5,63,1358
871,0,L,306.4,65,1325
872,0,L,306.4,67,1339
873,0,M,306.4,69,1335
874,0,L,306.4,72,1892
875,0,L,306.4,74,1575
876,0,M,306.3,76,1444
877,0,L,306.3,79,1915
878,0,M,306.2,81,1584
879,0,M,306.3,84,1685
880,0,L,306.3,87,1337
881,1,M,306.3,89,1235
882,0,L,306.2,92,1464
883,0,M,306.2,94,1739
884,0,L,306.3,97,1490
885,0,L,306.4,99,1356
886,0,L,306.2,101,1397
887,0,L,306.2,103,1458
888,0,H,306.2,105,2161
889,0,M,306.1,110,1651
890,0,L,306.1,113,1389
891,0,L,306.0,115,1370
892,0,L,306.1,117,1408
893,0,L,306.1,119,1343
894,0,M,306.2,121,1423
895,0,L,306.2,124,1426
896,0,M,306.2,126,1435
897,0,L,306.1,129,1573
898,0,L,306.2,131,1612
899,0,L,306.2,133,1446
900,0,H,306.2,135,1329
901,0,L,306.2,140,1569
902,0,H,306.1,142,1256
903,0,L,306.1,147,1383
904,1,L,306.2,149,2270
905,0,H,306.2,151,1458
906,0,L,306.1,156,1474
907,0,M,306.1,158,1462
908,0,M,306.1,161,1669
909,0,M,306.1,164,1822
910,0,L,306.0,167,1456
911,0,L,306.0,169,1546
912,0,M,306.1,171,1490
913,0,L,306.0,174,1569
914,0,L,306.0,176,1621
915,0,M,305.9,178,1518
916,0,M,305.8,181,1526
917,0,M,305.8,184,1589
918,0,L,305.7,187,1475
919,0,M,305.7,189,1473
920,0,L,305.8,192,1407
921,0,M,305.9,194,1518
922,0,H,305.9,197,1593
923,0,M,305.9,202,1380
924,0,M,306.0,205,1423
925,0,L,306.0,208,1800
926,0,H,306.1,210,1623
927,1,L,306.1,215,1372
928,0,H,306.0,0,1396
